time, input, singlepole, movingaverage, highpass, median,
0.0, 10.17396919, 1.8442277332791153, 2.034793838, 8.329741456720884, 10.17396919,
0.02, 10.14754875, 3.349364480931876, 4.0643035880000005, 6.798184269068123, 10.16075897,
0.04, 10.12126072, 4.576901012421802, 6.088555732000001, 5.544359707578198, 10.14754875,
0.06, 9.966258857, 5.553825850301763, 8.0818075034, 4.412433006698236, 10.134404735,
0.08, 9.598141696, 6.286935937966268, 10.001435842600001, 3.311205758033733, 10.12126072,
0.1, 9.766598656, 6.917691778406865, 9.919961735800001, 2.848906877593134, 9.966258857,
0.12, 9.693707703, 7.420898094501393, 9.829193526400001, 2.2728096084986062, 9.766598656,
0.14, 9.766598656, 7.8461014687888, 9.7582611136, 1.920497187211199, 9.766598656,
0.16, 9.791131798, 8.198675651805399, 9.7232357018, 1.5924561461946003, 9.766598656,
0.18, 9.717887453, 8.474062030922987, 9.7471848532, 1.2438254220770122, 9.766598656,
0.2, 9.742184157, 8.703933573722116, 9.7423019534, 1.0382505832778839, 9.742184157,
0.22, 9.717887453, 8.887732229832478, 9.7471379034, 0.8301552231675225, 9.742184157,
0.24, 9.574534375, 9.012228337471422, 9.708725047200002, 0.5623060375285801, 9.717887453,
0.26, 9.621861883, 9.122736151167787, 9.674871064200001, 0.4991257318322132, 9.717887453,
0.28, 9.693707703, 9.226235734382309, 9.6700351142, 0.4674719686176917, 9.693707703,
0.3, 9.693707703, 9.31097402609079, 9.660339823400001, 0.3827336769092094, 9.693707703,
0.32, 9.52765516, 9.350251652056722, 9.6222933648, 0.17740350794327897, 9.621861883,
0.34, 9.645695739, 9.403806579204494, 9.6365256376, 0.24188915979550749, 9.645695739,
0.36, 9.551039125, 9.430495311903258, 9.622361086, 0.12054381309674514, 9.645695739,
0.38, 9.693707703, 9.478207623817907, 9.622361086, 0.2155000791820927, 9.645695739,
0.4, 9.693707703, 9.51727116088288, 9.622361086, 0.17643654211711948, 9.645695739,
0.42, 9.742184157, 9.558040970312005, 9.665266885400001, 0.18414318668799529, 9.693707703,
0.44, 9.621861883, 9.569609739092833, 9.6605001142, 0.052252143907165816, 9.693707703,
0.46, 9.574534375, 9.57050242413509, 9.6651991642, 0.004031950864910039, 9.693707703,
0.48, 9.255450933, 9.513393277595373, 9.5775478102, -0.25794234459537396, 9.621861883,
0.5, 9.645695739, 9.53737564514012, 9.5679454174, 0.10832009385988017, 9.621861883,
0.52, 9.598141696, 9.548390661417915, 9.539136925200001, 0.049751034582085144, 9.598141696,
0.54, 9.669644073, 9.570370176022125, 9.548693363200002, 0.0992738969778747, 9.598141696,
0.56, 9.504381699, 9.558408494486793, 9.534662828, -0.054026795486794635, 9.598141696,
0.58, 9.574534375, 9.561331620703378, 9.598479516400001, 0.013202754296623494, 9.598141696,
0.6, 9.52765516, 9.555227114032677, 9.574871400600001, -0.027571954032677037, 9.574534375,
0.62, 9.389645165, 9.525212198827642, 9.5331720944, -0.1355670338276444, 9.52765516,
0.64, 9.598141696, 9.538432073858477, 9.518871619, 0.05970962214152242, 9.52765516,
0.66, 9.81578444, 9.58870752840099, 9.5811521672, 0.22707691159900745, 9.574534375,
0.68, 9.645695739, 9.599037738419707, 9.59538444, 0.04665800058029282, 9.598141696,
0.7000000000000001, 9.940870744, 9.661001549914337, 9.6780275568, 0.27986919408566246, 9.645695739,
0.72, 9.48121797, 9.628412315774321, 9.6963421178, -0.1471943457743208, 9.645695739,
0.74, 9.48121797, 9.601730507564632, 9.672957372599999, -0.12051253756463053, 9.645695739,
0.76, 9.504381699, 9.584084162347365, 9.6106768244, -0.07970246334736461, 9.504381699,
0.78, 9.574534375, 9.582353079586643, 9.596444551600001, -0.007818704586641093, 9.504381699,
0.8, 9.645695739, 9.59383515575654, 9.5374095506, 0.05186058324346087, 9.504381699,
0.8200000000000001, 9.389645165, 9.556821789903088, 9.5190949896, -0.1671766249030881, 9.504381699,
0.84, 9.082195238, 9.470786592270422, 9.4392904432, -0.38859135427042035, 9.504381699,
0.86, 9.435216652, 9.46433885598454, 9.4254574338, -0.02912220398454074, 9.435216652,
0.88, 9.598141696, 9.48859319603017, 9.430178898000001, 0.10954849996983071, 9.435216652,
0.9, 9.551039125, 9.499912722547878, 9.4112475752, 0.05112640245212399, 9.435216652,
0.92, 9.717887453, 9.539424837784964, 9.476896032800001, 0.1784626152150363, 9.551039125,
0.9400000000000001, 9.458163208, 9.524694603350188, 9.5520896268, -0.06653139535018665, 9.551039125,
0.96, 9.551039125, 9.52947005495017, 9.575254121400002, 0.021569070049831315, 9.551039125,
0.98, 9.598141696, 9.541918111608172, 9.5752541214, 0.0562235843918289, 9.551039125,
